Arkansas	PROPN	Yhdysvaltain osavaltio.
Brandenburg	PROPN	Berliiniä ympäröivä osavaltio Saksan itäosassa, jonka pääkaupunki on Potsdam.
Britteinsaaret	PROPN	Atlantin valtameren ja Pohjanmeren välinen saariryhmä luoteisessa Euroopassa.
Krakova	PROPN	Kaupunki eteläisessä Puolassa.
Nairobi	PROPN	Kenian pääkaupunki ja suurin kaupunki.
New Delhi	PROPN	Intian pääkaupunki.
Ohio	PROPN	Yhdysvaltain osavaltio.
Panama	PROPN	Keski-Amerikassa sijaitseva valtio, pitkältä nimeltään Panaman tasavalta.
Pohjois-Eurooppa	PROPN	Euroopan pohjoiset valtiot Suomi, Norja, Ruotsi, Tanska ja Islanti.
Puerto Rico	PROPN	Eräs suosittu lautapeli.
Puerto Rico	PROPN	Yhdysvaltain erillisalue Karibianmerellä, jonka pääkaupunki on San Juan.
Samoa	PROPN	Saaristovaltio eteläisellä Tyynellä valtamerellä Oseaniassa.
Sleesia	PROPN	Historiallinen alue nykyisessä Tšekissä ja Saksassa.
aalto	NOUN	Energian eteneminen jonkin suureen jaksollisen vaihtelun avulla.
aaltoilu	NOUN	Aaltoliikkeen jatkuminen, vallitseva aaltoliike.
aateluus	NOUN	Aatelisarvoon yhdistyvä arvolataus; ylevyys, ylevämielisyys.
aavikko	NOUN	Kuivuuden, kuumuuden tai kylmyyden takia lähes kasviton alue; aavikoitunut alue.
aivokuori	NOUN	Aivojen pinnalla olevan hermosolumassan muodostama harmaan aineen kerros.
algebra	NOUN	Algebrallinen rakenne; joukko, jossa on määritelty yksi tai useampi binäärioperaatio.
algebra	NOUN	Algebrallisiin rakenteisiin kohdistuva tutkimus.
algebra	NOUN	Yhtälöoppi, jossa aritmeettisten laskutoimitusten lisäksi käytetään potenssiin korottamista ja juurenottoa.
alus	NOUN	Alusta, alunen; jonkin alaosa tai alla oleva tila.
alus	NOUN	edeltävä aika
armeija	NOUN	Armeijakunnista koostuva sotilasyksikkö.
armeija	NOUN	Asepalvelus, sen suorittaminen.
armeija	NOUN	Asevoimien maalla toimiva osa eli maavoimat.
askel	NOUN	Juoksu-, kävely- tai tanssiliike, jossa toinen jalka siirretään toisen eteen, ja sille kohdistetaan kehon paino.
aukko	NOUN	Abstraktissa merkityksessä heikko kohta, tai kohta, josta puuttuu jotain.
aukko	NOUN	Anatomiassa jokin ruumiin aukoista, tässä merkityksessä sana reikä on alatyylinen.
aukko	NOUN	Heikko kohta puolustuslinjassa.
aukko	NOUN	Tärkeää ruutua, jota ei nyt eikä myöskään tulevaisuudessa voi suojata eli vartioida omalla sotilaalla, sanotaan aukoksi.
australialainen	NOUN	Australian kansalainen.
autiomaa	NOUN	Alue, jossa on kasvillisuutta vain hyvin niukasti tai ei ollenkaan.
autokratia	NOUN	Hallintomuoto, jossa yhdellä henkilöllä on rajaton valta, yksinvalta, yksinvaltius.
avaimenreikä	NOUN	Avaimelle oleva sijoituspaikka, kolo tai syvennys.
aviomies	NOUN	Mies, joka on avioliitossa vaimonsa kanssa.
avoin	ADJ	Aukea, esteetön, vapaa.
avoin	ADJ	Auki oleva, avattu.
avoin	ADJ	Avomielinen, suora, rehellinen, teeskentelemätön.
avoin	ADJ	Demokraattinen, individualistinen ja läpinäkyvä.
avoin	ADJ	Esillä oleva, näkyvä, peittelemätön.
azeri	NOUN	Azerien puhuma turkkilainen kieli.
azeri	NOUN	Etnisesti azerbaidžanilainen.
betoni	NOUN	Veteen sekoitetusta sementistä ja kiviaineksesta valmistettu rakentamiseen käytettävä massa, ja sen kovettuessa syntyvä aine.
bibliografia	NOUN	Bibliografioiden laatimisen taito.
bibliografia	NOUN	Bibliografioita tutkiva tiede.
bibliografia	NOUN	Dokumentteja, esimerkiksi kirjoja, kuvaileva luettelo tai tietokanta.
bolivialainen	NOUN	Bolivian kansalainen.
eduskunta	NOUN	Suomen kansanedustuslaitos, parlamentti, joka säätää lait.
elää	VERB	Asua, oleskella, elellä.
englantilainen	NOUN	Englannin kansalainen.
epävarma	ADJ	Arka, pelokas, epäileväinen.
erottaa	VERB	Havaita tai nähdä ero joidenkin välillä.
espanjalainen	NOUN	Espanjan kansalainen.
este	NOUN	Esteratsastuksessa kulkua vaikeuttava puomi tai muu hidaste.
este	NOUN	Tykistön puolustustaistelussa käyttämä tulimuoto, jossa ammutaan välittömästi ja niin nopeasti kuin mahdollista 0,2 tuliannosta kolmeen maaliin, joka ovat 100 metrin etäisyydellä toisistaan.
filosofi	NOUN	Filosofian harjoittaja.
filosofia	NOUN	Asioiden olemuksen ja alkuperusteiden tutkimus, viisauden etsiminen.
geofysiikka	NOUN	Geotieteisiin kuuluva maapalloa ja ilmakehää tutkiva fysikaalinen tiede.
hassu	ADJ	Hullunkurinen, hupsu.
hedelmämehu	NOUN	Hedelmän sisällä oleva neste.
herjaus	NOUN	Aikaisemmin käytössä ollut kunnianloukkausrikoksiin sisältynyt rikosnimike, jonka alaiseen tekoon syyllistyi se, joka perusteettomasti nimesi toisen syypääksi rikokseen.
herjaus	NOUN	Herja, loukkaus, riena, alentava tai halventava kommentti.
hiilihydraatti	NOUN	Hiilestä, vedystä ja hapesta koostuva orgaaninen yhdiste.
hullunkurinen	ADJ	Hassu, hupsu.
hyväksyä	VERB	Antaa hyväksyntä, ottaa virallisesti käyttöön.
hyväntekeväisyys	NOUN	Hyvän tekeminen sitä tarvitseville, esimerkiksi antamalla rahaa, tavaroita tai palvelemalla muuten.
hämäräperäinen	ADJ	Alkuperältään (negatiivisessa mielessä) hämärän peitossa oleva.
höpsö	ADJ	Hassu, hassuja puhuva, hassusti käyttäytyvä.
isku	NOUN	henkinen järkytys
jalka	NOUN	Alustaan tukeutuva kannatinvarsi esimerkiksi huonekaluissa ja kameran jalustassa.
jalka	NOUN	Eräiden juomalasityyppien varsi (ja jalusta).
joruba	NOUN	Eräs Länsi-Afrikassa puhuttu niililäis-saharalainen, tonaalinen kieli.
kannattaa	VERB	Olla järkevää tehdä, maksaa vaiva.
karsina	NOUN	Eräs rintaontelon osa.
kauppa	NOUN	Yritys, jonka tiloissa myydään tavaroita.
kelloseppä	NOUN	Ammattilainen, joka valmistaa kelloja.
kerho	NOUN	Kerhotila, klubi.
kertoa	VERB	Esittää kertomus tai selostaa toiselle jokin asia.
