Panama	PROPN	Panaman pääkaupunki on nimeltään Panamá.
alus	NOUN	Loistoristeilijät ovat valtavia aluksia.
antaa	VERB	Anna sen olla siinä vaan!
armeija	NOUN	Lähden armeijaan vuoden päästä.
aukko	NOUN	Tämä kuva on otettu aukolla 8.
auttaa	VERB	Voitko auttaa minua?
avoin	ADJ	Avoin väli on lukusuoralta rajoitettu väli, jonka päätepisteet eivät kuulu mukaan, mutta kaikki niiden välissä olevat pisteet kuuluvat mukaan.
beryllium	NOUN	Berylliumin kemiallinen merkki on Be.
elää	VERB	Hän eli elämänsä viimeiset vuodet Sveitsissä.
elää	VERB	Mannerheim eli vuosina 1867–1951.
elää	VERB	On otettava huomioon, että puu elää kuivuessaan.
erottaa	VERB	En erota niitä toisistaan.
erottaa	VERB	Erotatko sitä?
erottaa	VERB	Jyvät erotetaan akanoista.
este	NOUN	Esteen ilmetessä ilmoittakaa siitä viipymättä.
fondue	NOUN	Lihafonduen kastikkeena käytetään öljyä, jossa pienet mureasta lihasta tehdyt kuutiot kypsennetään.
fondue	NOUN	Makeasta pitävät tekevät suklaafondueta.
harvinainen	ADJ	Pallosalamat ovat hyvin harvinaisia.
heikentyä	VERB	Sateliitin signaali heikentyy.
helikopteri	NOUN	Lensimme kaupungin yli helikopterilla.
herjaus	NOUN	"Johtajaan kohdistuvia herjauksia katsotaan aika vinoon," sanoi alempi esimies alaiselleen.
herkkä	ADJ	Tämä aine on herkkä syttymään.
hiilihydraatti	NOUN	Peruna, riisi ja pasta sisältävät paljon hiilihydraatteja.
huhu	NOUN	Huhu kertoo, että olet menossa naimisiin.
ihminen	NOUN	Hän on Ihminen isolla i:llä.
ihminen	NOUN	Ihminen on oman arvionsa mukaan kaikkein älykkäin eläinlaji.
isku	NOUN	Tytöillä oli selvästi isku mielessä.
isku	NOUN	Äidin kuolema 1950-luvun puolivälissä oli hänellä kova isku.
jalka	NOUN	Jalkani vaativat kahdeksan numeron kengän.
jalka	NOUN	Juostaessa maata koskettaa vain toinen jalka kerrallaan.
jalka	NOUN	Kun sienet poimitaan jalkoineen, niiden tunnistaminen on myöhemmin helpompaa.
jalka	NOUN	Nyrkkisääntönä ruumiit tulee haudata kuuden jalan syvyyteen.
jääkylmä	ADJ	Jäävesi on yleensä jääkylmää.
kannattaa	VERB	Mitä sellainen oikein kannattaa?
kannattaa	VERB	Pilari kannattaa siltaa.
kannattaa	VERB	Sinun kannattaa mennä ulos.
kaukana	ADV	Footbag on kaukana välineurheilusta.
kaukana	ADV	Se aika on jo kaukana takanapäin.
kaukana	ADV	Se on liian kaukana, että sinne kannattaisi kävellä.
kauppa	NOUN	Kauppa oli tupaten täynnä asiakkaita.
kauppa	NOUN	Tehdään kaupat.
keskipiste	NOUN	Maan keskipiste sijaitsee hieman alle 6 400 kilometrin syvyydessä.
kieltäytyä	VERB	Kieltäydyin ensin armeijasta ja sitten vielä kieltäydyin siviilipalveluksesta.
kieltäytyä	VERB	Minä kieltäydyn pesemästä hampaitani.
kiertää	VERB	Kuu kiertää Maata.
kihlaus	NOUN	Heikki ja Kaija ovat olleet jo kauan kihloissa puhumatta kihlauksestaan kenellekään.
kiinteä	ADJ	Jää on vettä kiinteässä olomuodossa.
kohottaa	VERB	Kohottaa jalkaa.
kohteliaisuus	NOUN	Mihin on unohtunut kohteliaisuus?
kohteliaisuus	NOUN	Suomalaisilla ei ole tapana ladella kohteliaisuuksia.
korjaus	NOUN	Minun käsikirjoituksessani on paljon korjauksia.
koukku	NOUN	Katso, tuolla koukut kyttää!
koukku	NOUN	Onki ilman koukkua ei ole kalastusväline.
koukku	NOUN	Vasen koukku puree, joskus myös oikea.
koulutus	NOUN	Hänellä on lääkärin koulutus.
koulutus	NOUN	Suomessa koulutus on kansalaisille maksutonta.
koulutus	NOUN	Työpaikkailmoituksessa vaaditaan kaupallista koulutusta.
kuivaa	VERB	Antaa sen kuivaa huomiseen asti.
kuivua	VERB	Mä kuivuin heti, kun kuulin sen.
kunnioittaa	VERB	Hän on älykäs ihminen, ja kunnioitan häntä juuri sen vuoksi.
kuoppa	NOUN	Viime talvena perunat säilyivät hyvin kuopassa.
kuori	NOUN	Haluaisin kännykkään värikkäät kuoret.
kuori	NOUN	Munan kuoren voi rikkoa napauttamalla sitä terävästi astian reunaan.
kylmä	ADJ	Autokatoksemme vieressä on kylmä, valesokkelilla varustettu betonilattiainen varasto.
