-ad	_	fárad
-ba/-be	_	A férfikorba lép.
-ba/-be	_	A szobába megy.
-ba/-be	_	Ajándékba kap.
-ba/-be	_	Hátba vágta.
-ba/-be	_	Látogatóba megy.
-ba/-be	_	Rómába utazik.
-ba/-be	_	Sokba kerül.
-ba/-be	_	Szerelmes a lányba.
-ba/-be	_	Virágba borul.
-ba/-be	_	Vízbe ugrik.
-ed	_	téved
-etlen	_	rendetlen
-ség	_	emberség
Nobel-díj	PROPN	A fizikai Nobel-díj egy az öt Nobel-díjból, amit a svéd Alfred Nobel alapított.
Puerto Rico	PROPN	Puerto Rico gazdasága fellendülést mutat.
Wikikönyvek	PROPN	A Wikikönyvek azt célozza, hogy minél több tudományos kézikönyv, tankönyv legyen szabadon hozzáférhető az óvodától az egyetemig.
ab ovo	ADV	Ab ovo bízott benne.
ab ovo	ADV	Ez ab ovo nem igaz.
abba	PRON	Abba tedd!
abbizony	ADV	Abbizony nem jó!
abnormális	ADJ	Abnormális életfunkciókat mutat.
agyondicsér	VERB	agyon-
agyonüt	VERB	agyon-
aha	INTJ	Aha, itt a hiba!
alap	NOUN	Milyen alapon szól bele a magánéletedbe?
alap	NOUN	Nincs alapja a feltételezéseidnek.
alábbhagy	VERB	Alábbhagyott a vihar.
autósiskola	NOUN	Az autósiskolában tanult ismereteket először a KRESZ-vizsgán kérik számon.
bal	ADJ	A bal lábamról leesett a cipő.
becenév	NOUN	Jóska, Pisti, Tücsök, Csöpi
befogad	VERB	Az OEP befogadta az intézmény támogatási kérelmét.
befogad	VERB	Szavaznunk kell arról, hogy befogadunk-e új tagokat.
beszed	VERB	A tanár beszedte a dolgozatokat.
beszed	VERB	Beszedett egy egyest.
beszed	VERB	Beszedi a jegyekért a pénzt.
beszed	VERB	Beszedi a kirakatból a próbababákat.
beszed	VERB	Beszedi a kötélről a ruhát.
beszed	VERB	Beszedi a lakóktól a tagdíjat.
beszed	VERB	Beszedi az orvosságot.
beszámoló	NOUN	A beszédről beszámolót láthatnak a híradó esti kiadásában.
beszél	VERB	A baba már beszél.
beszél	VERB	A baleset után az afáziás nem beszél.
beszél	VERB	Az ismert biológus holnap beszél a konferencián.
beszél	VERB	Feri szeret beszélni.
bizonytalan	ADJ	1920 júniusáig bizonytalan volt, hol is húzódjon a magyar határ.
bizonytalan	ADJ	Bizonytalan okfejtéssel kezdte el a beszámolóját.
brr	INTJ	Brr, de csúf.
cizellál	VERB	A költő még egy ideig cizellálta az új versét, majd elégedetten becsukta a füzetét.
cizellál	VERB	Az ötvös még egy ideig cizellálta az ezüst tálcát.
csepereg	VERB	Dél óta csepereg.
deresedik	VERB	Deresedik a haja.
egyszerű	ADJ	Nem is olyan egyszerű ez a feladat, mint gondoltam.
eldugott	ADJ	Íme, már megint távoli vidékekre, eldugott zugba kerültünk.
elefánt	NOUN	Samu még sohasem látott elefántot.
elfogad	VERB	Elfogadok mindent, amit ő mond.
elfogad	VERB	Nem tudom elfogadni a meghívásodat.
elv	NOUN	Soha nem engedett az elveiből.
emberiség	NOUN	Az emberiség egyedeinek száma már rég túllépte a hat milliárdot.
enged	VERB	Az ajtó engedett a nyomásnak.
enyhül	VERB	A kegyetlen hidegek után enyhült az idő.
enyhül	VERB	Enyhül a fájdalom, ha szóba lehet önteni, s ha rokonszív is együtt érzi azt.
erődítmény	NOUN	Az erődítmény bevehetetlennek tűnt.
esküvő	NOUN	Az összes barátját meghívta az esküvőjére.
eszik	VERB	A panda bambuszt eszik.
fejezet	NOUN	Új fejezetet nyitott az életében.
fel-	_	felkar, felhám
felráz	VERB	A kalauz az állomás előtt felrázta a mélyen alvó utast.
felráz	VERB	A pincér felrázza az összekevert italokat.
felső	ADJ	A kép felső részében látható a szóban forgó épület.
felső	ADJ	A társadalom felső rétegébe tartozóktól mindent elkoboztak a háború alatt.
foglalkoztatottság	NOUN	A foglalkoztatottság aránya.
fogy	VERB	Fogynak a könyvek.
fogy	VERB	Kata sokat fogyott utolsó találkozásunk óta.
forgat	VERB	Nemrég kezdtek forgatni egy filmet a jégkorszakról.
forma	NOUN	A lengyel nemzet gyógyszerek, élelmiszerek és pénz formájában nyújtott segítséget.
forma	NOUN	A szobrászat egy művészeti forma.
forma	NOUN	Ez a kompozíció nehézségeket okoz a zenei formát tanuló diákoknak.
férj	NOUN	A főnöknőnk a férjével érkezett a fogadásra.
fültő	NOUN	Fültövön ütik.
gerenda	NOUN	Elrontották a gerendát.
gerenda	NOUN	Gerendán érmes lett.
gyakorlatlan	ADJ	Gyakorlatlan kezű.
gyöngybagoly	NOUN	A gyöngybagoly egész Európában az emberi településekhez kötődő madárfaj.
gödör	NOUN	Gödröt ástak, hogy eltemessék a holttestet.
hadjárat	NOUN	Három lapjában – A Honban, az Üstökösben és az Igazmondóban – valóságos hadjáratot folytatott a meglehetősen meggyengült Deák-párti kormány ellen.
hadsereg	NOUN	Ennek az országnak a hadserege legnagyobb Európában.
hajó	NOUN	A hajó délután indul a nyugati kikötőből.
helyileg	ADV	A legmagasabb arányban országosan és helyileg is a területi hovatartozás miatt választanak a betegek intézményt.
hideg	ADJ	Egyre hidegebb az idő.
hullám	NOUN	A hullám felcsapott a partra.
ház	NOUN	A magyar országgyűlésnek csak egy háza van.
ház	NOUN	Hiába próbálkoztam mindenféle trükkel, mindig a ház nyert a Black Jackben.
háztömb	NOUN	A barátnője a szomszéd háztömbben lakik.
hónalj	NOUN	Hónaljban szűk.
hónalj	NOUN	Izzad a hónalja.
ismerős	NOUN	Az összes ismerősét elhívta a vacsorára.
kever	VERB	A boszorka mérget kevert az italhoz.
kirúg	VERB	A főnök az összes csaláson kapott könyvelőt kirúgta.
kisimít	VERB	Kisimítja az abroszt.
kocsis	NOUN	A kocsis megigazította a szerszámot a lovakon, és ellenőrizte a rakományt.
kovácsol	VERB	A betyár új patkót kovácsoltatott a lova számára.
kovácsol	VERB	Kerítést kovácsol.
kráter	NOUN	A cirkálórakéta nyolc méter mély krátert vágott a földbe.
kávé	NOUN	A kávénak számos feldolgozási folyamaton kell keresztülmennie, míg a friss kávébogyóból megkapjuk a kávépörkölő cégek (pl. a Nestlé) által megvásárolt zöldszínű kávébabot.
kávé	NOUN	Rendelj nekem is egy kávét!
kémcső	NOUN	A kémcsőben elszíneződött a folyadék.
könyv	NOUN	Könyvet kaptam ajándékba.
könyv	NOUN	Könyvet ír.
köt	VERB	Kati pulóvert köt.
kötelesség	NOUN	A latrina takarítása a kopaszok kötelessége.
kötelesség	NOUN	Első a kötelesség!
központ	NOUN	Nem kapcsol a központ.
központ	NOUN	a város központjában
középiskola	NOUN	A középiskola gondos megválasztása nagyon fontos az ember jövője szempontjából.
közösség	NOUN	India valójában olyan államok közössége, melyeknek saját nyelvük és kultúrájuk van.
kőrisfa	NOUN	Utálom a kőrisfát, mert nyaranta több hullámban kőrisbogarak lepik el, borzalmas bűzt okozva.
laza	ADJ	"... csupán két, kupolából lógó gurtni, laza és ruganyos izomzat, fantasztikus tornásztudás, valamint néhány évtizednyi gyakorlás szükséges."
laza	ADJ	"... kb. 75 dkg-os laza szerkezetű kenyeret tudnak befogadni biztonságosan.”
laza	ADJ	"..., ugyanakkor a szakértő szerint most túl lazák a bekerülés feltételei."
laza	ADJ	"A bújka rövid derekú, hosszú ujjú, nyakig gombolt, laza, béleletlen vagy béléses posztó férfikabát neve Erdélyben."
laza	ADJ	"A felső szemhéjakon általában a laza, lógó bőr okozhat esztétikai panaszokat.”
laza	ADJ	"A laza összejövetelen két órán át falatoztak Messiék.”
